algoritmo,n,tempo_medio_ns,tempo_execucao_unica_ns,num_salas,operacoes_medias,status
Greedy,10,6596,,7,29,ok
TCGreedy,10,17433,,7,26,ok
Greedy,25,13216,,17,197,ok
TCGreedy,25,47791,,15,156,ok
Greedy,50,33792,,35,831,ok
TCGreedy,50,63736,,33,734,ok
Greedy,100,189678,,62,2961,ok
TCGreedy,100,238166,,53,2459,ok
Greedy,150,344894,,95,6853,ok
TCGreedy,150,146347,,83,5136,ok
Greedy,200,77678,,128,12306,ok
TCGreedy,200,205503,,116,10224,ok
Greedy,300,105520,,176,26343,ok
TCGreedy,300,253586,,154,20680,ok
Greedy,500,252416,,277,66253,ok
TCGreedy,500,691176,,259,54790,ok
Greedy,750,241460,,422,155210,ok
TCGreedy,750,429426,,404,128110,ok
Greedy,1000,109763,,531,259379,ok
TCGreedy,1000,396027,,481,214043,ok
Greedy,1500,177646,,773,567772,ok
TCGreedy,1500,579596,,735,471092,ok
Greedy,2000,409303,,1062,1041599,ok
TCGreedy,2000,1071209,,999,864174,ok
Greedy,2500,624522,,1299,1608472,ok
TCGreedy,2500,1476481,,1242,1325309,ok
Greedy,5000,2079845,,2479,6057027,ok
TCGreedy,5000,3723538,,2347,5207929,ok
Greedy,7500,4280947,,3591,13169329,ok
TCGreedy,7500,9221221,,3425,11370240,ok
Greedy,10000,7373357,,4576,22708087,ok
TCGreedy,10000,16222288,,4405,19582568,ok
Greedy,15000,16288399,,6794,50049800,ok
TCGreedy,15000,30893556,,6597,43942186,ok
Greedy,20000,26451753,,9703,88554653,ok
TCGreedy,20000,35551423,,9606,77727186,ok
Greedy,30000,65945236,,13234,196760807,ok
TCGreedy,30000,65458086,,12864,171184885,ok
Greedy,50000,194644157,,25313,630424118,ok
TCGreedy,50000,188232663,,25090,547406490,ok
Greedy,75000,451715570,,37741,1409942298,ok
TCGreedy,75000,434211735,,37336,1222042627,ok
Greedy,100000,770890673,,50402,2507949957,ok
TCGreedy,100000,727891803,,49979,2180457887,ok
Greedy,150000,1905461478,,75314,5641444823,ok
TCGreedy,150000,1681344124,,74868,4902117101,ok
Greedy,250000,4934210027,,125691,15694806182,ok
TCGreedy,250000,4551335998,,124877,13632562078,ok
Greedy,350000,10156943162,,175876,30696115159,ok
TCGreedy,350000,9018184915,,175219,26738882330,ok
Greedy,500000,21163517208,,251179,62712861145,ok
TCGreedy,500000,21774828322,,250175,54590361479,ok
Greedy,750000,50509619043,,376653,140944216019,ok
TCGreedy,750000,44313596603,,375352,122816691026,ok
Greedy,1000000,121092901944,,642836,321463822544,ok
TCGreedy,1000000,93954893655,,642819,247626642920,ok
